චීවරානිපි	3
පංසුකිතානි	3
හොන්ති	299
එතමත්ථං	384
ආරොචෙසුං	342
අනුජානාමි	395
හරිතුන්ති	3
තතියපාරාජිකං	3
අද්ධමාසස්ස	2
පටිසල්ලානා	4
වුට්ඨිතො	6
ආයස්මන්තං	117
ආනන්දං	24
ආමන්තෙසි	133
කිං	456
ආනන්ද	299
තනුභූතො	1
භික්ඛුසඞ්ඝොති	2
භාවිතො	9
ආනාපානසතිසමාධි	4
බහුලීකතො	8
සන්තො	100
පණීතො	1
අසෙචනකො	1
සුඛො	3
විහාරො	28
උප්පන්නුප්පන්නෙ	1
පාපකෙ	4
අකුසලෙ	4
ඨානසො	7
අන්තරධාපෙති	1
වූපසමෙති	1
ඉධ	530
අරඤ්ඤගතො	5
රුක්ඛමූලගතො	5
සුඤ්ඤාගාරගතො	6
නිසීදති	39
පල්ලඞ්කං	7
ආභුජිත්වා	3
උජුං	6
කායං	89
පණිධාය	6
පරිමුඛං	5
සතිං	6
උපට්ඨපෙත්වා	10
සතොව	7
අස්සසති	2
සතො	68
පස්සසති	2
සඤ්චිච්ච	33
මනුස්සවිග්ගහං	3
ජීවිතා	36
වොරොපෙය්ය	4
සත්ථහාරකං	2
වාස්ස	2
පරියෙසෙය්ය	1
අයම්පි	87
සඤ්චිච්චාති	3
ජානන්තො	15
සංජානන්තො	1
චෙච්ච	5
අභිවිතරිත්වා	5
වීතික්කමො	6
මනුස්සවිග්ගහො	2
මාතුකුච්ඡිස්මිං	5
පඨමං	157
චිත්තං	263
උප්පන්නං	42
විඤ්ඤාණං	107
පාතුභූතං	1
යාව	84
මරණකාලා	1
එත්ථන්තරෙ	1
වොරොපෙය්යාති	2
ජීවිතින්ද්රියං	9
උපච්ඡින්දති	2
උපරොධෙති	3
සන්තතිං	2
විකොපෙති	2
පරියෙසෙය්යාති	1
අසිං	2
සත්තිං	1
භෙණ්ඩිං	1
ලගුළං	1
පාසාණං	2
සත්ථං	11
විසං	4
රජ්ජුං	3
මරණවණ්ණං	1
සංවණ්ණෙය්යාති	1
ජීවිතෙ	5
ආදීනවං	8
දස්සෙති	1
මරණෙ	7
වණ්ණං	64
භණති	85
මරණාය	3
සමාදපෙය්යාති	2
ආහර	4
ඛාද	3
රජ්ජුයා	4
උබ්බන්ධිත්වා	2
කරොහීති	3
අම්භො	3
පුරිසාති	2
ආලපනාධිවචනමෙතං	1
ඉති	262
චිත්තමනොති	1
යඤ්චිත්තං	1
මනො	57
